,location,Starbucks,Whole Foods,Movie Theater,Equinox
394,"(40.6333513, -74.1021333)",2,0,0,0
395,"(40.660323, -73.8455929)",1,0,0,0
396,"(40.6784764, -73.8476859)",0,0,0,0
397,"(40.6444117, -73.9100389)",0,0,0,0
398,"(40.5132339, -74.1959753)",0,0,0,0
399,"(40.6776809, -73.8166457)",0,0,0,0
400,"(40.7644631, -73.8297531)",1,0,0,0
401,"(40.842629, -73.8665973)",0,0,0,0
402,"(40.7827104, -73.8457691)",0,0,0,0
403,"(40.8180374, -73.9436858)",0,0,0,0
404,"(40.5343966, -74.1582874)",0,0,0,0
405,"(40.6712528, -73.9716506)",0,0,0,0
406,"(40.6685186, -73.9175924)",0,0,0,0
407,"(40.6753179, -73.9008593)",0,0,0,0
408,"(40.89582, -73.9110766)",0,0,0,0
409,"(40.7051444, -73.8030054)",0,0,1,0
410,"(40.578639, -73.965449)",1,0,0,0
411,"(40.5844107, -73.9380366)",0,0,0,0
412,"(40.6171535, -74.0890497)",0,0,0,0
413,"(40.6179636, -73.9681702)",0,0,0,0
414,"(40.6170275, -74.0893192)",0,0,0,0
415,"(40.7142299, -73.8152)",0,0,0,0
416,"(40.6511537, -73.8284146)",0,0,0,0
417,"(40.8492324, -73.8914043)",0,0,0,0
418,"(40.7185125, -73.834819)",0,0,0,0
419,"(40.759972, -73.9173868)",1,0,0,0
420,"(40.5742632, -74.086609)",0,0,0,0
421,"(40.6694978, -73.8897534)",0,0,0,0
422,"(40.6789582, -73.9203193)",0,0,0,0
423,"(40.593404, -73.775651)",0,0,0,0
424,"(40.6743408, -73.9056237)",0,0,0,0
425,"(40.8457524, -73.9059682)",0,0,0,0
426,"(40.902657, -73.901871)",0,0,0,0
427,"(40.699454, -73.924234)",0,0,0,0
428,"(40.7833319, -73.9815796)",2,0,1,2
429,"(40.7639241, -73.9190583)",1,0,0,0
430,"(40.8233271, -73.8110122)",0,0,0,0
431,"(40.6415965, -73.9105958)",0,0,0,0
432,"(40.8409818, -73.8292936)",0,0,0,0
433,"(40.5586967, -74.1351001)",0,0,0,0
434,"(40.8554764, -73.8287193)",0,0,0,0
435,"(40.6747343, -73.8239749)",0,0,0,0
436,"(40.6109595, -74.060351)",0,0,0,0
437,"(40.6012318, -74.1300175)",0,0,0,0
438,"(40.608799, -73.9128174)",0,0,0,0
439,"(40.6221107, -74.1499982)",0,0,0,0
440,"(40.5528489, -74.1699382)",0,0,0,0
441,"(40.6428139, -73.9451438)",0,0,0,0
442,"(40.6330671, -74.1659477)",0,0,0,0
443,"(40.7083753, -73.787158)",0,0,0,0
444,"(40.546573, -74.213449)",0,0,0,0
445,"(40.5956263, -73.933927)",0,0,0,0
446,"(40.6633466, -73.8542803)",0,0,0,0
447,"(40.8762047, -73.8603621)",0,0,0,0
448,"(40.784332, -73.8045713)",0,0,0,0
449,"(40.6426635, -74.1108512)",0,0,0,0
450,"(40.6316141, -74.0858954)",0,0,0,0
451,"(40.6402886, -73.9463493)",0,0,0,0
452,"(40.6198659, -74.0087151)",0,0,0,0
453,"(40.846624, -73.8520911)",0,0,0,0
454,"(40.6142391, -74.0884134)",0,0,0,0
455,"(40.8972473, -73.868898)",0,0,0,0
456,"(40.7608129, -73.8669195)",0,0,0,0
457,"(40.5704687, -73.8558742)",0,0,0,0
458,"(40.575138, -74.090531)",0,0,0,0
459,"(40.6903851, -73.9825343)",5,0,2,0
460,"(40.5505648, -74.1599018)",0,0,0,0
461,"(40.7241501, -74.0080814)",1,0,1,0
462,"(40.7323524, -73.9993358)",3,0,3,0
463,"(40.8432844, -73.7846028)",0,0,1,0
464,"(40.641648, -73.9064568)",0,0,0,0
465,"(40.6739463, -73.885344)",0,0,0,0
466,"(40.7120962, -73.8518076)",0,0,1,0
467,"(40.6099147, -73.9287144)",0,0,0,0
468,"(40.7121373, -73.8277084)",1,0,1,0
469,"(40.6411388, -73.9478417)",0,0,0,0
470,"(40.7874921, -73.7858086)",0,0,0,0
471,"(40.5849224, -74.0968781)",0,0,0,0
472,"(40.5809134, -73.8302012)",0,0,0,0
473,"(40.8528127, -73.8312235)",0,0,0,0
474,"(40.7565472, -73.7339718)",0,0,0,0
475,"(40.613911, -74.133028)",1,0,0,0
476,"(40.6542535, -73.8350556)",0,0,0,0
477,"(40.5929709, -74.0937822)",0,0,0,0
478,"(40.6422293, -74.0830445)",0,0,0,0
479,"(40.78403, -73.80579)",0,0,0,0
480,"(40.6212165, -73.9324344)",1,0,0,0
481,"(40.9007702, -73.9110778)",0,0,0,0
482,"(40.7179519, -73.8427778)",1,0,2,0
483,"(40.7169141, -73.7831551)",0,0,0,0
484,"(40.7188985, -73.8587988)",0,0,0,0
